review_text,fake_prob,new_fake_prob,new_real_prob,prob_difference
Great product . And specially the service - i really appreciate the company trying to help and satisfy the consumer. Go for it product under this budget,0.907664120197296,1.8209467498309095e-06,0.9999982118606567,-0.9076622992505462
"Likes: 1. Minimalistic Design (nearly premium....at least) 2. Good sound quality (in this price range...... however not comparable to my boat rokerz 518 headphones) 3. Bud's build quality Dislikes: 1. As everyone saying, 100% volume boost after every time you connect. And Magnetic pull is little bit weak (but it doesn't mean you lose your bud/s) My experience with Airpods Plus 311 1. Voice calling issue (sometimes) 2. Battery backup is really great(without case) 3. Wearable time may vary person to person, by for me it was 4 hours. 4. I don't think it is good to say that it has good noise cancellation system 🤔 At last......I satisfied, worthy product for 900 INR Now, I'm writing this review after 17 days usage.:.... Problems: 1. Charging issue with buds ( Even after put them into case) 2. While listening music buds are not in sync (yes! Bro I have shut them down several times as instructed in manual, still syncing problem remains) 3. Buds remain connected even after putting them in case. So , I'm lowering my ratting for this product to 3 stars.",0.8775249123573303,3.6647509205067763e-06,0.9999963045120239,-0.8775212476064098
"value for money, mic quality , amazing sound quality",0.9226829409599304,0.00040702969999983907,0.9995929598808289,-0.9222759112599306
Product is good. Working hours is good. Sound not good. But it not working when I received and open it. After charging it. Then it's working. But when i received it. It look like used product. Don't buy it. Go for others like noise and boult,0.9207037091255188,1.707596197775274e-06,0.9999983310699463,-0.920702001529321
"Attractive box, confortable to wear, good sound experience",0.9851607084274292,1.4332242244563531e-05,0.9999856948852539,-0.9851463761851846
"The earphone's sound quality was just average; microphone was bad and just a bad earphone overall. Better buy the Bassheads Pro (wired) which is cheaper and offer superior music quality. Also, a problem that I faced was that whenever I connected the earphones to any device, the sound would immediately jump up to 100% and it would straight up blare in my ears. The call quality was just bad and so was the sound quality, not recommended unless if you want wireless capability at a cheaper price, also don't buy it if selling for prices higher then 500 INR.",0.9574037790298462,3.995057340944186e-06,0.9999959468841553,-0.9573997839725052
Really impressed with these buds. Sound quality is great with strong bass and clear vocals. Noise cancellation works very well for daily use and blocks most background noise. Only small issue is slight sound leakage at high volume. Not a big deal though. Nice product at great price.,0.9836312532424928,2.7750270419346634e-06,0.9999972581863403,-0.9836284782154509
Nice product.. really happy with the order... Impressed by it's premium colour,0.0404991954565048,0.0003224352840334177,0.9996775388717651,-0.04017676017247138
Though if you are a bass fan this is not for you,0.4264306724071502,0.9892401695251465,0.010759841650724411,0.5628094971179962
These are value for money and really good quality,0.8920931816101074,1.9824915398203302e-06,0.9999979734420776,-0.8920911991185676
It's good enough for this price and the customer service is actually not bad,0.9098049402236938,0.00029374027508310974,0.9997062087059021,-0.9095111999486107
Good product Sound is good,0.0088130990043282,0.12637090682983398,0.8736290335655212,0.11755780782550579
Using this product for more than a month and the sound quality is great,0.9106593728065492,0.39723217487335205,0.602767825126648,-0.5134271979331971
Good but voice quality can be improved,0.6000644564628601,0.00011511852062540129,0.999884843826294,-0.5999493379422347
Battery life good and sound is ok,0.956796944141388,0.00019267505558673292,0.9998072981834412,-0.9566042690858013
"Its a good product and the charging stats for long, no noise while calling",0.9270121455192566,1.5900466223683907e-06,0.9999984502792358,-0.9270105554726342
The design of the closure leads to the lid breaking,0.3984395265579223,0.9498144388198853,0.05018562451004982,0.5513749122619629
Nice Bass on this buds..and battery works is amazing.,0.9388173222541808,3.632814468801371e-06,0.9999964237213135,-0.938813689439712
0 बार-बार charging mein problem aata hai,0.1697517484426498,0.0074453409761190414,0.9925546050071716,-0.16230640746653077
Not that much good product I expected,0.4026891887187958,0.0024659542832523584,0.9975340366363525,-0.4002232344355434
Noise was good but there is no bass in the buds,0.7716470956802368,7.786747300997376e-05,0.9999221563339233,-0.7715692282072268
"Unbelievable product, best in the market.",0.4336709380149841,0.24551674723625183,0.7544832229614258,-0.18815419077873224
