review_text,fake_prob
Great product . And specially the service - i really appreciate the company trying to help and satisfy the consumer. Go for it product under this budget,0.9076641201972961
"Likes: 1. Minimalistic Design (nearly premium....at least) 2. Good sound quality (in this price range...... however not comparable to my boat rokerz 518 headphones) 3. Bud's build quality Dislikes: 1. As everyone saying, 100% volume boost after every time you connect. And Magnetic pull is little bit weak (but it doesn't mean you lose your bud/s) My experience with Airpods Plus 311 1. Voice calling issue (sometimes) 2. Battery backup is really great(without case) 3. Wearable time may vary person to person, by for me it was 4 hours. 4. I don't think it is good to say that it has good noise cancellation system 🤔 At last......I satisfied, worthy product for 900 INR Now, I'm writing this review after 17 days usage.:.... Problems: 1. Charging issue with buds ( Even after put them into case) 2. While listening music buds are not in sync (yes! Bro I have shut them down several times as instructed in manual, still syncing problem remains) 3. Buds remain connected even after putting them in case. So , I'm lowering my ratting for this product to 3 stars.",0.8775249123573303
"value for money, mic quality , amazing sound quality",0.9226829409599304
Product is good. Working hours is good. Sound not good. But it not working when I received and open it. After charging it. Then it's working. But when i received it. It look like used product. Don't buy it. Go for others like noise and boult,0.9207037091255188
"Attractive box, confortable to wear, good sound experience",0.9851607084274292
"The earphone's sound quality was just average; microphone was bad and just a bad earphone overall. Better buy the Bassheads Pro (wired) which is cheaper and offer superior music quality. Also, a problem that I faced was that whenever I connected the earphones to any device, the sound would immediately jump up to 100% and it would straight up blare in my ears. The call quality was just bad and so was the sound quality, not recommended unless if you want wireless capability at a cheaper price, also don't buy it if selling for prices higher then 500 INR.",0.9574037790298462
Really impressed with these buds. Sound quality is great with strong bass and clear vocals. Noise cancellation works very well for daily use and blocks most background noise. Only small issue is slight sound leakage at high volume. Not a big deal though. Nice product at great price.,0.9836312532424927
Nice product.. really happy with the order... Impressed by it's premium colour,0.04049919545650482
Though if you are a bass fan this is not for you,0.42643067240715027
These are value for money and really good quality,0.8920931816101074
It's good enough for this price and the customer service is actually not bad,0.9098049402236938
Good product Sound is good,0.008813099004328251
Using this product for more than a month and the sound quality is great,0.9106593728065491
Good but voice quality can be improved,0.6000644564628601
Battery life good and sound is ok,0.9567969441413879
"Its a good product and the charging stats for long, no noise while calling",0.9270121455192566
The design of the closure leads to the lid breaking,0.39843952655792236
Nice Bass on this buds..and battery works is amazing.,0.9388173222541809
0 बार-बार charging mein problem aata hai,0.16975174844264984
Not that much good product I expected,0.4026891887187958
Noise was good but there is no bass in the buds,0.7716470956802368
"Unbelievable product, best in the market.",0.43367093801498413
"I've been using these earbuds for 3 months and i have not faced any issues yet, except that they are a little big for my ears and hurts when used for long hours. The sound quality is good and the battery lasts long enough. So far im Satisfied with the product!",0.971447229385376
Very good sound quality. It's easy to pair. The MFB is easy to receive calls or to operate your phone. Much recommended. Battery is quite good,0.9898782968521118
Product is so good and comfortable.,0.8954157829284668
Baat airdrop121 Gen2 is to good sound system and battery backup system good value for money,0.8229179382324219
Very good and valu for money it latency is good and sound quality is better and is 70 hr batery backup tre and I need to charge once in 10 day,0.9670493602752686
"I’ve been using, overall the music and movie sound is decent, clear and enjoyable. The battery life is ok. However, the mic quality is a letdown. it sometimes sounds muffled and It picks up a lot of background noise, and people on the other end often struggle to understand me. I even bought two pairs, and both had the same issue. Good for media, but not ideal for calls.",0.8104041814804077
Quality in this price is good but I have minor issue while attending call... Otherwise bettery life and other thing's are good...,0.9583677053451538
Good product . Good sound . Good durability. Good battery backup,0.9519208073616028
Value for Money 💰 Good Product 😄,0.0005802587256766856
Very good product nice sound quality,0.972862720489502
Wouldn't call a very good but a decent one.,0.24664072692394257
Good packing and nice sound quality,0.9679586887359619
The product is good but the gen 1 last longer than gen 2. Connectivity is better and sound quality is good. Calling quality is smooth.,0.9522594809532166
I also 9 month this product use have a not a issue but Lekin call ka time mein connect Hona Mushkil hota hai usko aur battery is a long lasting better than but charging to bonus slow very slow nahi just is slow sound quality better is good loud base Sabse Badi cheez happy year ka quality achha hai money waste Nahin Hua Shayad,0.9596787095069885
"Great sound quality, value for money",0.9254027009010315
It’s good for the price.,0.44200193881988525
"I’ve been using boAt Airdopes for a while now, and honestly, they’re great for the price. The sound quality is impressive with good bass, which makes music and videos more enjoyable. The battery backup is decent and easily lasts through daily use. The design is comfortable and fits well in the ears, so you can wear them for long periods without any discomfort. Bluetooth connectivity is smooth, and pairing is quick. Overall, if you’re looking for budget-friendly wireless earbuds with good performance, boAt Airdopes are definitely worth it!",0.9874781370162964
It’s a value for money product. I am happy with sound quality.,0.9678772687911987
This product is nice 👍👍 and good sound quality means overall nice in this price,0.9873074293136597
Good product To buy at this range,0.005438836757093668
